ads_idx,ads_code,adv_idx,sch_idx,ads_type,ads_category,ads_name,ads_limit,ads_payment,ads_save_way,ads_day_cap,ads_sdate,ads_edate,ads_os_type,ads_contract_price,ads_reward_price,ads_order,ads_rejoin_type,regdate
18773,uk286rjrMi,1039,357667,3,10,200여종의 워치페이스를 내손안에! (무료체험),,유료,서비스 가입,N,2022-08-04 11:00:00,2029-11-29 00:00:00,7,1500,1000,2573300,NONE,2022-08-04 11:28:50
18774,uk286rjrMi,1039,72189,3,10,200여종의 워치페이스를 내손안에! (직과금),,유료,서비스 가입,N,2022-08-04 11:00:00,2029-11-29 00:00:00,7,4200,3300,2575700,NONE,2022-08-04 11:32:13
19247,BkabOPfFoi,724,1087710,9,0,천하제일검,,,모든 서브퀘스트 완료,N,2022-09-07 16:00:00,2025-12-31 00:00:00,2,0,507,1945800,NONE,2022-09-06 18:09:21
19488,tBwR3QXYKy,50,334868,11,3,광주방송 네이버 뉴스,,,네이버뉴스 구독,Y,2022-09-23 12:00:00,2030-01-01 00:00:00,2,230,160,2729100,NONE,2022-09-23 11:55:06
19853,As5AAlGjum,1205,1087711,9,6,계급장 키우기,,,모든 서브퀘스트 완료,N,2022-10-14 11:00:00,2025-12-31 00:00:00,2,0,678,1966400,NONE,2022-10-13 18:55:50
19953,za5edBppf2,839,1087712,9,0,조선좀비전 : 방치형 RPG,,,모든 서브퀘스트 완료,N,2022-10-24 18:00:00,2025-12-31 00:00:00,2,0,500,1968900,NONE,2022-10-20 15:08:45
20062,HpWTh8aUr3,1185,1087713,9,0,정령사 키우기,,,모든 서브퀘스트 완료,N,2022-10-28 10:00:00,2025-12-31 00:00:00,2,0,257,1971800,NONE,2022-10-27 14:31:30
20182,TSbSN2ZyCv,930,329661,12,11,유유제약 마시는 관절건강 MSM 30포,,59000,구매,N,2022-11-03 10:00:00,9999-12-31 00:00:00,7,21818,14100,1148160,REJOINABLE,2022-11-03 10:22:51
20256,cWCfPJQ3GD,1217,374874,3,10,AT스탁플러스,서비스 최초 가입자,"11,000",서비스 가입,N,2022-11-08 18:00:00,2034-01-01 00:00:00,7,9000,6000,2591600,NONE,2022-11-08 18:46:58
20726,aas1RDJUMU,1243,1087722,9,6,우주소녀 키우기:방치형RPG,,,모든 서브퀘스트 완료,N,2023-01-11 16:00:00,2025-12-31 00:00:00,2,0,436,2009200,NONE,2023-01-05 13:57:04
